SOURCE,PATHWAY,link
KEGG,Coronavirus disease - COVID-19,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Coronavirus disease - COVID-19
KEGG,D-Amino acid metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=D-Amino acid metabolism
KEGG,Notch signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Notch signaling pathway
KEGG,Arginine biosynthesis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Arginine biosynthesis
KEGG,Type II diabetes mellitus,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Type II diabetes mellitus
KEGG,FoxO signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=FoxO signaling pathway
KEGG,Neuroactive ligand-receptor interaction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Neuroactive ligand-receptor interaction
KEGG,One carbon pool by folate,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=One carbon pool by folate
KEGG,Long-term potentiation,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Long-term potentiation
KEGG,Synaptic vesicle cycle,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Synaptic vesicle cycle
KEGG,Neurotrophin signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Neurotrophin signaling pathway
KEGG,Retrograde endocannabinoid signaling,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Retrograde endocannabinoid signaling
KEGG,Glutamatergic synapse,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Glutamatergic synapse
KEGG,Cholinergic synapse,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Cholinergic synapse
KEGG,Pancreatic cancer,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Pancreatic cancer
KEGG,Dopaminergic synapse,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Dopaminergic synapse
KEGG,Prolactin signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Prolactin signaling pathway
KEGG,Fanconi anemia pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Fanconi anemia pathway
KEGG,Renal cell carcinoma,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Renal cell carcinoma
KEGG,GABAergic synapse,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=GABAergic synapse
KEGG,Basal cell carcinoma,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Basal cell carcinoma
KEGG,Nicotinate and nicotinamide metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Nicotinate and nicotinamide metabolism
KEGG,Sulfur metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Sulfur metabolism
KEGG,Colorectal cancer,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Colorectal cancer
KEGG,AMPK signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=AMPK signaling pathway
KEGG,PI3K-Akt signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=PI3K-Akt signaling pathway
KEGG,mTOR signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=mTOR signaling pathway
KEGG,Phenylalanine metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Phenylalanine metabolism
KEGG,Proteasome,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Proteasome
KEGG,Acute myeloid leukemia,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Acute myeloid leukemia
KEGG,Wnt signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Wnt signaling pathway
KEGG,Arginine and proline metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Arginine and proline metabolism
KEGG,African trypanosomiasis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=African trypanosomiasis
KEGG,Chagas disease,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Chagas disease
KEGG,Adherens junction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Adherens junction
KEGG,Rap1 signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Rap1 signaling pathway
KEGG,ErbB signaling pathway,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=ErbB signaling pathway
KEGG,Glutathione metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Glutathione metabolism
KEGG,Toxoplasmosis,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Toxoplasmosis
KEGG,Malaria,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Malaria
KEGG,Nicotine addiction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Nicotine addiction
KEGG,Morphine addiction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Morphine addiction
KEGG,Amphetamine addiction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Amphetamine addiction
KEGG,Cocaine addiction,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Cocaine addiction
KEGG,Caffeine metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Caffeine metabolism
KEGG,Thyroid cancer,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Thyroid cancer
KEGG,Purine metabolism,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&dbkey=pathway&keywords=Purine metabolism
