SOURCE,PATHWAY,link
BioCarta,BIOCARTA_CELL2CELL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CELL2CELL_PATHWAY.html
BioCarta,BIOCARTA_CELLCYCLE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CELLCYCLE_PATHWAY.html
BioCarta,BIOCARTA_CERAMIDE_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CERAMIDE_PATHWAY.html
BioCarta,BIOCARTA_CFTR_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CFTR_PATHWAY.html
BioCarta,BIOCARTA_CHEMICAL_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CHEMICAL_PATHWAY.html
BioCarta,BIOCARTA_CHREBP_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CHREBP_PATHWAY.html
BioCarta,BIOCARTA_CIRCADIAN_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CIRCADIAN_PATHWAY.html
BioCarta,BIOCARTA_CK1_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CK1_PATHWAY.html
BioCarta,BIOCARTA_CLASSIC_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CLASSIC_PATHWAY.html
BioCarta,BIOCARTA_COMP_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_COMP_PATHWAY.html
BioCarta,BIOCARTA_CPSF_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CPSF_PATHWAY.html
BioCarta,BIOCARTA_CREB_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CREB_PATHWAY.html
BioCarta,BIOCARTA_CREM_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CREM_PATHWAY.html
BioCarta,BIOCARTA_CSK_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CSK_PATHWAY.html
BioCarta,BIOCARTA_CTBP1_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CTBP1_PATHWAY.html
BioCarta,BIOCARTA_CTCF_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CTCF_PATHWAY.html
BioCarta,BIOCARTA_CTLA4_PATHWAY,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BIOCARTA_CTLA4_PATHWAY.html
